depot_name,factory_name,coffee_society,fertilizer_type,allocated_bags,distance_km,cost_kes,route_time_hours,late_delivery
Baricho DCC Office Satellite Depot,Karani Coffee Factory,Kabare FCS,CAN,1786.0,45.63,8217.0,0.145,False
Baricho DCC Office Satellite Depot,Kiang'ombe Coffee Factory,Kabare FCS,CAN,874.0,18.65,3360.0,0.10666666666666667,False
Baricho DCC Office Satellite Depot,Kiangothe Coffee Factory,Kabare FCS,CAN,810.0,29.700000000000003,5350.0,0.16999999999999998,False
Baricho DCC Office Satellite Depot,Kimandi Coffee Factory,Kabare FCS,CAN,817.0,36.75,6610.0,0.21,False
Baricho DCC Office Satellite Depot,Konyu Coffee Factory,Kabare FCS,CAN,413.0,13.440000000000001,2421.0,0.12833333333333333,False
Baricho DCC Office Satellite Depot,Karani Coffee Factory,Kabare FCS,LIME,1566.0,40.56,7304.0,0.145,False
Baricho DCC Office Satellite Depot,Kiang'ombe Coffee Factory,Kabare FCS,LIME,748.0,14.92,2688.0,0.10666666666666667,False
Baricho DCC Office Satellite Depot,Kiangothe Coffee Factory,Kabare FCS,LIME,684.0,23.76,4280.0,0.16999999999999998,False
Baricho DCC Office Satellite Depot,Kimandi Coffee Factory,Kabare FCS,LIME,852.0,36.75,6610.0,0.21,False
Baricho DCC Office Satellite Depot,Konyu Coffee Factory,Kabare FCS,LIME,350.0,8.96,1614.0,0.12833333333333333,False
Baricho DCC Office Satellite Depot,Karani Coffee Factory,Kabare FCS,NPK,1561.0,40.56,7304.0,0.145,False
Baricho DCC Office Satellite Depot,Kiang'ombe Coffee Factory,Kabare FCS,NPK,744.0,14.92,2688.0,0.10666666666666667,False
Baricho DCC Office Satellite Depot,Kiangoi Coffee Factory,Rung'eto FCS,NPK,139.0,11.48,2067.0,0.3283333333333333,False
Baricho DCC Office Satellite Depot,Kiangothe Coffee Factory,Kabare FCS,NPK,683.0,23.76,4280.0,0.16999999999999998,False
Baricho DCC Office Satellite Depot,Kimandi Coffee Factory,Kabare FCS,NPK,1362.0,51.449999999999996,9254.0,0.21,False
Baricho DCC Office Satellite Depot,Konyu Coffee Factory,Kabare FCS,NPK,350.0,8.96,1614.0,0.12833333333333333,False
Ciagini ACC Office Satellite Depot,Kainamui Coffee Factory,New Ngariama FCS,CAN,837.0,32.35,5825.0,0.185,False
Ciagini ACC Office Satellite Depot,Kegwa Coffee Factory,Ngiriambu FCS,CAN,427.0,28.740000000000002,5172.0,0.2733333333333333,False
Ciagini ACC Office Satellite Depot,Kiangoi Coffee Factory,Rung'eto FCS,CAN,150.0,12.39,2230.0,0.35333333333333333,False
Ciagini ACC Office Satellite Depot,Kiri Coffee Factory,Ngiriambu FCS,CAN,649.0,46.08,8296.0,0.33,False
Ciagini ACC Office Satellite Depot,Kainamui Coffee Factory,New Ngariama FCS,LIME,702.0,25.88,4660.0,0.185,False
Ciagini ACC Office Satellite Depot,Kegwa Coffee Factory,Ngiriambu FCS,LIME,369.0,19.16,3448.0,0.2733333333333333,False
Ciagini ACC Office Satellite Depot,Kiangoi Coffee Factory,Rung'eto FCS,LIME,140.0,12.39,2230.0,0.35333333333333333,False
Ciagini ACC Office Satellite Depot,Kiri Coffee Factory,Ngiriambu FCS,LIME,557.0,34.56,6222.0,0.33,False
Ciagini ACC Office Satellite Depot,Kainamui Coffee Factory,New Ngariama FCS,NPK,701.0,25.88,4660.0,0.185,False
Ciagini ACC Office Satellite Depot,Kegwa Coffee Factory,Ngiriambu FCS,NPK,369.0,19.16,3448.0,0.2733333333333333,False
Ciagini ACC Office Satellite Depot,Kiri Coffee Factory,Ngiriambu FCS,NPK,557.0,34.56,6222.0,0.33,False
Kamweti ATC Satellite Depot,Kariaini Coffee Factory,Mwirua FCS,CAN,781.0,35.84,6448.0,0.25666666666666665,False
Kamweti ATC Satellite Depot,Kiaragana Coffee Factory,Mwirua FCS,CAN,2238.0,105.0,18900.0,0.25,False
Kamweti ATC Satellite Depot,Kariaini Coffee Factory,Mwirua FCS,LIME,666.0,35.84,6448.0,0.25666666666666665,False
Kamweti ATC Satellite Depot,Kiaragana Coffee Factory,Mwirua FCS,LIME,1932.0,87.5,15750.0,0.25,False
Kamweti ATC Satellite Depot,Kariaini Coffee Factory,Mwirua FCS,NPK,576.0,26.880000000000003,4836.0,0.25666666666666665,False
Kamweti ATC Satellite Depot,Kiaragana Coffee Factory,Mwirua FCS,NPK,1923.0,87.5,15750.0,0.25,False
Kerugoya CC Office Satellite Depot,Kaguyu Coffee Factory,Inoi FCS,CAN,444.0,2.7,486.0,0.025,False
Kerugoya CC Office Satellite Depot,Kaitheri Coffee Factory,Inoi FCS,CAN,219.0,5.62,1012.0,0.08,False
Kerugoya CC Office Satellite Depot,Kariko Coffee Factory,Inoi FCS,CAN,1680.0,9.0,1611.0,0.028333333333333332,False
Kerugoya CC Office Satellite Depot,Kerugoya Coffee Factory,Inoi FCS,CAN,1812.0,26.099999999999998,4690.0,0.075,False
Kerugoya CC Office Satellite Depot,Kiandieri Coffee Factory,Inoi FCS,CAN,193.0,0.52,94.0,0.015000000000000001,False
Kerugoya CC Office Satellite Depot,Rutui Coffee Factory,Inoi FCS,CAN,423.0,3.3600000000000003,603.0,0.03166666666666666,False
Kerugoya CC Office Satellite Depot,Thaita Coffee Factory,Inoi FCS,CAN,1829.0,9.8,1770.0,0.028333333333333332,False
Kerugoya CC Office Satellite Depot,Kaguyu Coffee Factory,Inoi FCS,LIME,386.0,1.8,324.0,0.025,False
Kerugoya CC Office Satellite Depot,Kaitheri Coffee Factory,Inoi FCS,LIME,32.0,2.81,506.0,0.08,False
Kerugoya CC Office Satellite Depot,Kariko Coffee Factory,Inoi FCS,LIME,1496.0,8.0,1432.0,0.028333333333333332,False
Kerugoya CC Office Satellite Depot,Kerugoya Coffee Factory,Inoi FCS,LIME,1701.0,23.49,4221.0,0.075,False
Kerugoya CC Office Satellite Depot,Kiandieri Coffee Factory,Inoi FCS,LIME,178.0,0.52,94.0,0.015000000000000001,False
Kerugoya CC Office Satellite Depot,Rutui Coffee Factory,Inoi FCS,LIME,363.0,2.24,402.0,0.03166666666666666,False
Kerugoya CC Office Satellite Depot,Thaita Coffee Factory,Inoi FCS,LIME,1744.0,8.82,1593.0,0.028333333333333332,False
Kerugoya CC Office Satellite Depot,Kaguyu Coffee Factory,Inoi FCS,NPK,385.0,1.8,324.0,0.025,False
Kerugoya CC Office Satellite Depot,Kaitheri Coffee Factory,Inoi FCS,NPK,1356.0,19.67,3542.0,0.08,False
Kerugoya CC Office Satellite Depot,Kariko Coffee Factory,Inoi FCS,NPK,1493.0,8.0,1432.0,0.028333333333333332,False
Kerugoya CC Office Satellite Depot,Kerugoya Coffee Factory,Inoi FCS,NPK,1691.0,23.49,4221.0,0.075,False
Kerugoya CC Office Satellite Depot,Kiandieri Coffee Factory,Inoi FCS,NPK,177.0,0.52,94.0,0.015000000000000001,False
Kerugoya CC Office Satellite Depot,Rutui Coffee Factory,Inoi FCS,NPK,363.0,2.24,402.0,0.03166666666666666,False
Kerugoya CC Office Satellite Depot,Thaita Coffee Factory,Inoi FCS,NPK,1735.0,8.82,1593.0,0.028333333333333332,False
Kiaga Animal Feeds Factory Satellite Depot,Gathambi Coffee Factory,Mwirua FCS,CAN,53.0,9.87,1776.0,0.2816666666666666,False
Kiaga Animal Feeds Factory Satellite Depot,Kaitheri Coffee Factory,Inoi FCS,CAN,2348.0,130.2,23448.0,0.31,False
Kiaga Animal Feeds Factory Satellite Depot,Kimandi Coffee Factory,Kabare FCS,CAN,725.0,62.72,11288.0,0.4483333333333333,False
Kiaga Animal Feeds Factory Satellite Depot,Mushagara Coffee Factory,Baragwi FCS,CAN,1324.0,51.169999999999995,9205.0,0.20833333333333334,False
Kiaga Animal Feeds Factory Satellite Depot,Kaitheri Coffee Factory,Inoi FCS,LIME,2105.0,119.35,21494.0,0.31,False
Kiaga Animal Feeds Factory Satellite Depot,Kimandi Coffee Factory,Kabare FCS,LIME,512.0,47.04,8466.0,0.4483333333333333,False
Kiaga Animal Feeds Factory Satellite Depot,Mushagara Coffee Factory,Baragwi FCS,LIME,1148.0,43.86,7890.0,0.20833333333333334,False
Kiaga Animal Feeds Factory Satellite Depot,Kaitheri Coffee Factory,Inoi FCS,NPK,761.0,43.4,7816.0,0.31,False
Kianyaga DCC Office Satellite Depot,Gachami Coffee Factory,Baragwi FCS,CAN,2688.0,14.14,2548.0,0.028333333333333332,False
Kianyaga DCC Office Satellite Depot,Gathambi Coffee Factory,Mwirua FCS,CAN,83.0,4.59,826.0,0.13166666666666668,False
Kianyaga DCC Office Satellite Depot,Guama Coffee Factory,Baragwi FCS,CAN,1318.0,7.630000000000001,1379.0,0.03166666666666666,False
Kianyaga DCC Office Satellite Depot,Kagongo Coffee Factory,Baragwi FCS,CAN,545.0,1.26,228.0,0.011666666666666665,False
Kianyaga DCC Office Satellite Depot,Kariru Coffee Factory,Baragwi FCS,CAN,103.0,3.68,662.0,0.105,False
Kianyaga DCC Office Satellite Depot,Karumandi Coffee Factory,Baragwi FCS,CAN,960.0,13.100000000000001,2360.0,0.075,False
Kianyaga DCC Office Satellite Depot,Thimu Coffee Factory,Baragwi FCS,CAN,103.0,4.47,804.0,0.12833333333333333,False
Kianyaga DCC Office Satellite Depot,Gachami Coffee Factory,Baragwi FCS,LIME,2385.0,12.120000000000001,2184.0,0.028333333333333332,False
Kianyaga DCC Office Satellite Depot,Gathambi Coffee Factory,Mwirua FCS,LIME,125.0,4.59,826.0,0.13166666666666668,False
Kianyaga DCC Office Satellite Depot,Guama Coffee Factory,Baragwi FCS,LIME,1152.0,6.540000000000001,1182.0,0.03166666666666666,False
Kianyaga DCC Office Satellite Depot,Kagongo Coffee Factory,Baragwi FCS,LIME,490.0,1.26,228.0,0.011666666666666665,False
Kianyaga DCC Office Satellite Depot,Kariru Coffee Factory,Baragwi FCS,LIME,96.0,3.68,662.0,0.105,False
Kianyaga DCC Office Satellite Depot,Karumandi Coffee Factory,Baragwi FCS,LIME,831.0,13.100000000000001,2360.0,0.075,False
Kianyaga DCC Office Satellite Depot,Mushagara Coffee Factory,Baragwi FCS,LIME,24.0,3.0,541.0,0.08499999999999999,False
Kianyaga DCC Office Satellite Depot,Thimu Coffee Factory,Baragwi FCS,LIME,97.0,4.47,804.0,0.12833333333333333,False
Kianyaga DCC Office Satellite Depot,Gachami Coffee Factory,Baragwi FCS,NPK,2370.0,12.120000000000001,2184.0,0.028333333333333332,False
Kianyaga DCC Office Satellite Depot,Gathambi Coffee Factory,Mwirua FCS,NPK,123.0,4.59,826.0,0.13166666666666668,False
Kianyaga DCC Office Satellite Depot,Guama Coffee Factory,Baragwi FCS,NPK,1148.0,6.540000000000001,1182.0,0.03166666666666666,False
Kianyaga DCC Office Satellite Depot,Kagongo Coffee Factory,Baragwi FCS,NPK,488.0,1.26,228.0,0.011666666666666665,False
Kianyaga DCC Office Satellite Depot,Kariaini Coffee Factory,Mwirua FCS,NPK,91.0,6.76,1217.0,0.19333333333333333,False
Kianyaga DCC Office Satellite Depot,Kariru Coffee Factory,Baragwi FCS,NPK,91.0,3.68,662.0,0.105,False
Kianyaga DCC Office Satellite Depot,Karumandi Coffee Factory,Baragwi FCS,NPK,828.0,13.100000000000001,2360.0,0.075,False
Kianyaga DCC Office Satellite Depot,Mushagara Coffee Factory,Baragwi FCS,NPK,1169.0,18.0,3246.0,0.08499999999999999,False
Kianyaga DCC Office Satellite Depot,Thimu Coffee Factory,Baragwi FCS,NPK,92.0,4.47,804.0,0.12833333333333333,False
Sagana NCPB Depot,Thunguri Coffee Factory,Kibirigwi FCS,CAN,1844.0,175.0,31490.0,0.5,False
Sagana NCPB Depot,Thunguri Coffee Factory,Kibirigwi FCS,LIME,1644.0,157.5,28341.0,0.5,False
Sagana NCPB Depot,Thunguri Coffee Factory,Kibirigwi FCS,NPK,1630.0,157.5,28341.0,0.5,False
Togonye ACC Office Satellite Depot,Kamwangi Coffee Factory,New Ngariama FCS,CAN,1314.0,21.7,3906.0,0.08833333333333333,False
Togonye ACC Office Satellite Depot,Kamwangi Coffee Factory,New Ngariama FCS,LIME,1156.0,18.6,3348.0,0.08833333333333333,False
Togonye ACC Office Satellite Depot,Kamwangi Coffee Factory,New Ngariama FCS,NPK,1151.0,18.6,3348.0,0.08833333333333333,False
