record_id,scenario_year,county,crop,depot_id,depot_name,depot_category,depot_lat,depot_lon,fertilizer_type,depot_stock_bags_est,factory_id,factory_name,coffee_society,factory_lat,factory_lon,factory_cherry_weight_kg_afa,estimated_acres,fertilizer_rate_bags_per_acre_assumed,factory_demand_bags_est,factory_storage_capacity_bags_est,vehicle_capacity_bags,trips_needed_if_single_factory,straight_line_distance_km,road_distance_km_est,travel_time_min_est,transport_cost_kes_est_one_way,route_time_limit_hours,delivery_window_days,priority_score_est,priority_class,nearest_depot_id_by_est_distance,nearest_depot_name_by_est_distance,distance_method,demand_method,source_1_factory_production,source_2_depot_network,source_3_fertilizer_rates,source_4_routing_method,data_quality_flag
R0001,2026,Kirinyaga,Coffee,D01,Kamweti ATC Satellite Depot,county_satellite,-0.355,37.43,NPK,5600,F01,Kiangoi Coffee Factory,Rung'eto FCS,-0.501303,37.373625,69519,24.8,5,124,476,200,1,17.43,23.54,40.3,4236.0,8,10,0.092,Low,D02,Kianyaga DCC Office Satellite Depot,estimated: haversine distance * 1.35 road factor; replace with OSMnx shortest_path,"estimated from AFA cherry weight proxy; assumed 2,800 kg cherry per acre; fertilizer rates from Draft National Coffee Policy",https://www.afa.go.ke/download/5226/?tmstv=1750232445,https://kirinyaga.go.ke/waiguru-launches-fertilizer-mashinani-initiative-opens-satellite-farm-inputs-depots/,https://kilimo.go.ke/wp-content/uploads/2025/09/Draft-National-Coffee-Policy-2024.pdf,https://osmnx.readthedocs.io/en/stable/user-reference.html,"Estimated for hackathon modelling; validate coordinates, stock and demand with field/OSMnx data before operational use"
R0002,2026,Kirinyaga,Coffee,D01,Kamweti ATC Satellite Depot,county_satellite,-0.355,37.43,CAN,5200,F01,Kiangoi Coffee Factory,Rung'eto FCS,-0.501303,37.373625,69519,24.8,6,149,476,200,1,17.43,23.54,40.3,4236.0,8,10,0.098,Low,D02,Kianyaga DCC Office Satellite Depot,estimated: haversine distance * 1.35 road factor; replace with OSMnx shortest_path,"estimated from AFA cherry weight proxy; assumed 2,800 kg cherry per acre; fertilizer rates from Draft National Coffee Policy",https://www.afa.go.ke/download/5226/?tmstv=1750232445,https://kirinyaga.go.ke/waiguru-launches-fertilizer-mashinani-initiative-opens-satellite-farm-inputs-depots/,https://kilimo.go.ke/wp-content/uploads/2025/09/Draft-National-Coffee-Policy-2024.pdf,https://osmnx.readthedocs.io/en/stable/user-reference.html,"Estimated for hackathon modelling; validate coordinates, stock and demand with field/OSMnx data before operational use"
R0003,2026,Kirinyaga,Coffee,D01,Kamweti ATC Satellite Depot,county_satellite,-0.355,37.43,Lime,4700,F01,Kiangoi Coffee Factory,Rung'eto FCS,-0.501303,37.373625,69519,24.8,5,124,476,200,1,17.43,23.54,40.3,4236.0,8,10,0.092,Low,D02,Kianyaga DCC Office Satellite Depot,estimated: haversine distance * 1.35 road factor; replace with OSMnx shortest_path,"estimated from AFA cherry weight proxy; assumed 2,800 kg cherry per acre; fertilizer rates from Draft National Coffee Policy",https://www.afa.go.ke/download/5226/?tmstv=1750232445,https://kirinyaga.go.ke/waiguru-launches-fertilizer-mashinani-initiative-opens-satellite-farm-inputs-depots/,https://kilimo.go.ke/wp-content/uploads/2025/09/Draft-National-Coffee-Policy-2024.pdf,https://osmnx.readthedocs.io/en/stable/user-reference.html,"Estimated for hackathon modelling; validate coordinates, stock and demand with field/OSMnx data before operational use"
R0004,2026,Kirinyaga,Coffee,D01,Kamweti ATC Satellite Depot,county_satellite,-0.355,37.43,NPK,5600,F02,Kainamui Coffee Factory,New Ngariama FCS,-0.472125,37.459616,386496,138.0,5,690,2650,200,4,13.43,18.14,31.1,3264.0,8,10,0.225,Medium,D07,Ciagini ACC Office Satellite Depot,estimated: haversine distance * 1.35 road factor; replace with OSMnx shortest_path,"estimated from AFA cherry weight proxy; assumed 2,800 kg cherry per acre; fertilizer rates from Draft National Coffee Policy",https://www.afa.go.ke/download/5226/?tmstv=1750232445,https://kirinyaga.go.ke/waiguru-launches-fertilizer-mashinani-initiative-opens-satellite-farm-inputs-depots/,https://kilimo.go.ke/wp-content/uploads/2025/09/Draft-National-Coffee-Policy-2024.pdf,https://osmnx.readthedocs.io/en/stable/user-reference.html,"Estimated for hackathon modelling; validate coordinates, stock and demand with field/OSMnx data before operational use"
R0005,2026,Kirinyaga,Coffee,D01,Kamweti ATC Satellite Depot,county_satellite,-0.355,37.43,CAN,5200,F02,Kainamui Coffee Factory,New Ngariama FCS,-0.472125,37.459616,386496,138.0,6,828,2650,200,5,13.43,18.14,31.1,3264.0,8,10,0.262,Medium,D07,Ciagini ACC Office Satellite Depot,estimated: haversine distance * 1.35 road factor; replace with OSMnx shortest_path,"estimated from AFA cherry weight proxy; assumed 2,800 kg cherry per acre; fertilizer rates from Draft National Coffee Policy",https://www.afa.go.ke/download/5226/?tmstv=1750232445,https://kirinyaga.go.ke/waiguru-launches-fertilizer-mashinani-initiative-opens-satellite-farm-inputs-depots/,https://kilimo.go.ke/wp-content/uploads/2025/09/Draft-National-Coffee-Policy-2024.pdf,https://osmnx.readthedocs.io/en/stable/user-reference.html,"Estimated for hackathon modelling; validate coordinates, stock and demand with field/OSMnx data before operational use"
R0006,2026,Kirinyaga,Coffee,D01,Kamweti ATC Satellite Depot,county_satellite,-0.355,37.43,Lime,4700,F02,Kainamui Coffee Factory,New Ngariama FCS,-0.472125,37.459616,386496,138.0,5,690,2650,200,4,13.43,18.14,31.1,3264.0,8,10,0.225,Medium,D07,Ciagini ACC Office Satellite Depot,estimated: haversine distance * 1.35 road factor; replace with OSMnx shortest_path,"estimated from AFA cherry weight proxy; assumed 2,800 kg cherry per acre; fertilizer rates from Draft National Coffee Policy",https://www.afa.go.ke/download/5226/?tmstv=1750232445,https://kirinyaga.go.ke/waiguru-launches-fertilizer-mashinani-initiative-opens-satellite-farm-inputs-depots/,https://kilimo.go.ke/wp-content/uploads/2025/09/Draft-National-Coffee-Policy-2024.pdf,https://osmnx.readthedocs.io/en/stable/user-reference.html,"Estimated for hackathon modelling; validate coordinates, stock and demand with field/OSMnx data before operational use"
R0007,2026,Kirinyaga,Coffee,D01,Kamweti ATC Satellite Depot,county_satellite,-0.355,37.43,NPK,5600,F03,Kaguyu Coffee Factory,Inoi FCS,-0.503818,37.276883,213771,76.3,5,382,1466,200,2,23.74,32.05,54.9,5769.0,8,10,0.108,Low,D03,Kerugoya CC Office Satellite Depot,estimated: haversine distance * 1.35 road factor; replace with OSMnx shortest_path,"estimated from AFA cherry weight proxy; assumed 2,800 kg cherry per acre; fertilizer rates from Draft National Coffee Policy",https://www.afa.go.ke/download/5226/?tmstv=1750232445,https://kirinyaga.go.ke/waiguru-launches-fertilizer-mashinani-initiative-opens-satellite-farm-inputs-depots/,https://kilimo.go.ke/wp-content/uploads/2025/09/Draft-National-Coffee-Policy-2024.pdf,https://osmnx.readthedocs.io/en/stable/user-reference.html,"Estimated for hackathon modelling; validate coordinates, stock and demand with field/OSMnx data before operational use"
R0008,2026,Kirinyaga,Coffee,D01,Kamweti ATC Satellite Depot,county_satellite,-0.355,37.43,CAN,5200,F03,Kaguyu Coffee Factory,Inoi FCS,-0.503818,37.276883,213771,76.3,6,458,1466,200,3,23.74,32.05,54.9,5769.0,8,10,0.129,Low,D03,Kerugoya CC Office Satellite Depot,estimated: haversine distance * 1.35 road factor; replace with OSMnx shortest_path,"estimated from AFA cherry weight proxy; assumed 2,800 kg cherry per acre; fertilizer rates from Draft National Coffee Policy",https://www.afa.go.ke/download/5226/?tmstv=1750232445,https://kirinyaga.go.ke/waiguru-launches-fertilizer-mashinani-initiative-opens-satellite-farm-inputs-depots/,https://kilimo.go.ke/wp-content/uploads/2025/09/Draft-National-Coffee-Policy-2024.pdf,https://osmnx.readthedocs.io/en/stable/user-reference.html,"Estimated for hackathon modelling; validate coordinates, stock and demand with field/OSMnx data before operational use"
R0009,2026,Kirinyaga,Coffee,D01,Kamweti ATC Satellite Depot,county_satellite,-0.355,37.43,Lime,4700,F03,Kaguyu Coffee Factory,Inoi FCS,-0.503818,37.276883,213771,76.3,5,382,1466,200,2,23.74,32.05,54.9,5769.0,8,10,0.108,Low,D03,Kerugoya CC Office Satellite Depot,estimated: haversine distance * 1.35 road factor; replace with OSMnx shortest_path,"estimated from AFA cherry weight proxy; assumed 2,800 kg cherry per acre; fertilizer rates from Draft National Coffee Policy",https://www.afa.go.ke/download/5226/?tmstv=1750232445,https://kirinyaga.go.ke/waiguru-launches-fertilizer-mashinani-initiative-opens-satellite-farm-inputs-depots/,https://kilimo.go.ke/wp-content/uploads/2025/09/Draft-National-Coffee-Policy-2024.pdf,https://osmnx.readthedocs.io/en/stable/user-reference.html,"Estimated for hackathon modelling; validate coordinates, stock and demand with field/OSMnx data before operational use"
R0010,2026,Kirinyaga,Coffee,D01,Kamweti ATC Satellite Depot,county_satellite,-0.355,37.43,NPK,5600,F04,Kariko Coffee Factory,Inoi FCS,-0.497039,37.273935,800249,285.8,5,1429,5488,200,8,23.46,31.68,54.3,5702.0,8,10,0.391,Medium,D03,Kerugoya CC Office Satellite Depot,estimated: haversine distance * 1.35 road factor; replace with OSMnx shortest_path,"estimated from AFA cherry weight proxy; assumed 2,800 kg cherry per acre; fertilizer rates from Draft National Coffee Policy",https://www.afa.go.ke/download/5226/?tmstv=1750232445,https://kirinyaga.go.ke/waiguru-launches-fertilizer-mashinani-initiative-opens-satellite-farm-inputs-depots/,https://kilimo.go.ke/wp-content/uploads/2025/09/Draft-National-Coffee-Policy-2024.pdf,https://osmnx.readthedocs.io/en/stable/user-reference.html,"Estimated for hackathon modelling; validate coordinates, stock and demand with field/OSMnx data before operational use"
