location_id,location_name,location_type,category,lat,lon,society,stock_npk_bags_est,stock_can_bags_est,stock_lime_bags_est,demand_npk_bags_est,demand_can_bags_est,demand_lime_bags_est,source
D01,Kamweti ATC Satellite Depot,depot,county_satellite,-0.355,37.43,,5600,5200,4700,,,,Kirinyaga County Fertilizer Mashinani depot list
D02,Kianyaga DCC Office Satellite Depot,depot,county_satellite,-0.437,37.366,,6400,5800,5200,,,,Kirinyaga County Fertilizer Mashinani depot list
D03,Kerugoya CC Office Satellite Depot,depot,county_satellite,-0.4989,37.2803,,7200,6600,5900,,,,Kirinyaga County Fertilizer Mashinani depot list
D04,Kiaga Animal Feeds Factory Satellite Depot,depot,county_satellite,-0.42,37.31,,5000,4600,4300,,,,Kirinyaga County Fertilizer Mashinani depot list
D05,Baricho DCC Office Satellite Depot,depot,county_satellite,-0.57,37.34,,5100,4700,4200,,,,Kirinyaga County Fertilizer Mashinani depot list
D06,Kandongu DCC Office Satellite Depot,depot,county_satellite,-0.64,37.35,,4600,4200,3800,,,,Kirinyaga County Fertilizer Mashinani depot list
D07,Ciagini ACC Office Satellite Depot,depot,county_satellite,-0.515,37.455,,4900,4550,4050,,,,Kirinyaga County Fertilizer Mashinani depot list
D08,Togonye ACC Office Satellite Depot,depot,county_satellite,-0.472,37.505,,4400,4100,3600,,,,Kirinyaga County Fertilizer Mashinani depot list
D09,Sagana NCPB Depot,depot,ncpb_depot,-0.666,37.205,,9000,8200,7600,,,,Kirinyaga County report on NCPB Sagana pickup
D10,Mwea NCPB Depot,depot,ncpb_depot,-0.7,37.35,,8600,8000,7300,,,,Kirinyaga County report on NCPB Mwea pickup
F01,Kiangoi Coffee Factory,factory,coffee_factory,-0.501303,37.373625,Rung'eto FCS,,,,124,149,124,AFA Coffee Yearbook 2023/2024 Kirinyaga factory table; demand estimated
F02,Kainamui Coffee Factory,factory,coffee_factory,-0.472125,37.459616,New Ngariama FCS,,,,690,828,690,AFA Coffee Yearbook 2023/2024 Kirinyaga factory table; demand estimated
F03,Kaguyu Coffee Factory,factory,coffee_factory,-0.503818,37.276883,Inoi FCS,,,,382,458,382,AFA Coffee Yearbook 2023/2024 Kirinyaga factory table; demand estimated
F04,Kariko Coffee Factory,factory,coffee_factory,-0.497039,37.273935,Inoi FCS,,,,1429,1715,1429,AFA Coffee Yearbook 2023/2024 Kirinyaga factory table; demand estimated
